date,CNTY_NM,xco2,FIPS,County
2015-01-04,Bowie,397.19509769001627,48037.0,Bowie
2015-01-04,Cass,396.539072480883,48067.0,Cass
2015-01-04,Harrison,396.7346401623218,48203.0,Harrison
2015-01-04,Marion,396.36938197959574,48315.0,Marion
2015-01-04,Morris,395.76277777086943,48343.0,Morris
2015-01-04,Panola,396.61019445420095,48365.0,Panola
2015-01-04,Red River,396.0753081348509,48387.0,Red River
2015-01-04,Sabine,399.39584288125235,48403.0,Sabine
2015-01-04,San Augustine,399.09738267812384,48405.0,San Augustine
2015-01-04,Shelby,397.74098716888517,48419.0,Shelby
2015-01-05,Culberson,397.60932253613015,48109.0,Culberson
2015-01-05,Hudspeth,397.5438299327323,48229.0,Hudspeth
2015-01-05,Jeff Davis,397.7632612525803,48243.0,Jeff Davis
2015-01-05,Presidio,397.5986485154583,48377.0,Presidio
2015-01-12,El Paso,399.15537409898315,48141.0,El Paso
2015-01-16,Falls,399.6192898750765,48145.0,Falls
2015-01-16,Robertson,399.83565565543586,48395.0,Robertson
2015-01-26,El Paso,398.0164008680731,48141.0,El Paso
2015-01-28,Brewster,396.84413141518274,48043.0,Brewster
2015-01-28,Pecos,396.58190149756064,48371.0,Pecos
2015-01-28,Reeves,395.1584052022857,48389.0,Reeves
2015-01-28,Ward,396.82881040128194,48475.0,Ward
2015-01-28,Winkler,396.2527430202398,48495.0,Winkler
2015-02-01,Brooks,400.44099576054856,48047.0,Brooks
2015-02-01,Carson,398.11777820940864,48065.0,Carson
2015-02-01,Concho,397.20409716080337,48095.0,Concho
2015-02-01,Cottle,398.9500284660608,48101.0,Cottle
2015-02-01,Dickens,398.0056582284825,48125.0,Dickens
2015-02-01,Donley,398.64897371444397,48129.0,Donley
2015-02-01,Fisher,397.65491879627325,48151.0,Fisher
2015-02-01,Gray,398.8881731442738,48179.0,Gray
2015-02-01,Hall,398.5408381510948,48191.0,Hall
2015-02-01,Hansford,399.11506970347176,48195.0,Hansford
2015-02-01,Hutchinson,398.393326528192,48233.0,Hutchinson
2015-02-01,Jones,398.00122089872366,48253.0,Jones
2015-02-01,King,398.44985448136146,48269.0,King
2015-02-01,Motley,398.22755038935264,48345.0,Motley
2015-02-01,Runnels,395.63162135891616,48399.0,Runnels
2015-02-01,Stonewall,397.8358165893172,48433.0,Stonewall
2015-02-01,Taylor,396.5179879314212,48441.0,Taylor
2015-02-02,Morris,400.7648010253906,48343.0,Morris
2015-02-02,Panola,400.896484375,48365.0,Panola
2015-02-02,Red River,399.9115295410156,48387.0,Red River
2015-02-02,Titus,399.0367431640625,48449.0,Titus
2015-02-06,Brewster,397.49167346321286,48043.0,Brewster
2015-02-06,Culberson,397.1306841493287,48109.0,Culberson
2015-02-06,Deaf Smith,397.8519083658855,48117.0,Deaf Smith
2015-02-06,Jeff Davis,396.0883004896827,48243.0,Jeff Davis
2015-02-06,Presidio,397.015489314457,48377.0,Presidio
2015-02-08,Bexar,400.55670166015625,48029.0,Bexar
2015-02-08,Borden,397.53702321005136,48033.0,Borden
2015-02-08,Crockett,396.8152118711498,48105.0,Crockett
2015-02-08,Dawson,397.6197360316292,48115.0,Dawson
2015-02-08,Edwards,396.5367527248768,48137.0,Edwards
2015-02-08,Frio,400.0566711425781,48163.0,Frio
2015-02-08,Glasscock,397.2903399931345,48173.0,Glasscock
2015-02-08,Gonzales,398.6455078125,48177.0,Gonzales
2015-02-08,Guadalupe,400.0499572753906,48187.0,Guadalupe
2015-02-08,Hale,396.91389247309417,48189.0,Hale
2015-02-08,Howard,397.576504231741,48227.0,Howard
2015-02-08,Irion,396.86524425633246,48235.0,Irion
2015-02-08,Kinney,396.7467470783188,48271.0,Kinney
2015-02-08,La Salle,399.00950622558594,48283.0,La Salle
2015-02-08,Lubbock,397.81668343611295,48303.0,Lubbock
2015-02-08,Lynn,398.149594563396,48305.0,Lynn
2015-02-08,Maverick,397.43796309065976,48323.0,Maverick
2015-02-08,Reagan,396.59981335075025,48383.0,Reagan
2015-02-08,Schleicher,397.8789318352937,48413.0,Schleicher
2015-02-08,Sterling,397.38053174946333,48431.0,Sterling
2015-02-08,Sutton,397.0482052647553,48435.0,Sutton
2015-02-08,Tom Green,397.1969338387928,48451.0,Tom Green
2015-02-08,Val Verde,396.8919927597438,48465.0,Val Verde
2015-02-08,Webb,397.2723534388933,48479.0,Webb
2015-02-08,Zavala,400.8594055175781,48507.0,Zavala
2015-02-09,Deaf Smith,396.2772216796875,48117.0,Deaf Smith
2015-02-09,Potter,397.55743408203125,48375.0,Potter
2015-02-09,Presidio,398.7312316894531,48377.0,Presidio
2015-02-11,Crockett,398.5611673990886,48105.0,Crockett
2015-02-11,Llano,399.5855102539063,48299.0,Llano
2015-02-11,Palo Pinto,399.6393025716145,48363.0,Palo Pinto
2015-02-11,Webb,400.10784912109375,48479.0,Webb
2015-02-12,Angelina,400.21266977419145,48005.0,Angelina
2015-02-12,Chambers,399.49352916420446,48071.0,Chambers
2015-02-12,Cherokee,398.98441041274214,48073.0,Cherokee
