Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/16/2019,AQS,480271045,1,4.4,ug/m3 LC,18,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/17/2019,AQS,480271045,1,6.3,ug/m3 LC,26,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/18/2019,AQS,480271045,1,7,ug/m3 LC,29,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/19/2019,AQS,480271045,1,11.1,ug/m3 LC,46,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/20/2019,AQS,480271045,1,12.7,ug/m3 LC,52,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/21/2019,AQS,480271045,1,5.6,ug/m3 LC,23,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/22/2019,AQS,480271045,1,7.5,ug/m3 LC,31,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/23/2019,AQS,480271045,1,8.4,ug/m3 LC,35,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/24/2019,AQS,480271045,1,7.7,ug/m3 LC,32,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/25/2019,AQS,480271045,1,14.3,ug/m3 LC,56,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/26/2019,AQS,480271045,1,9.4,ug/m3 LC,39,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/27/2019,AQS,480271045,1,11.5,ug/m3 LC,48,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/28/2019,AQS,480271045,1,6.9,ug/m3 LC,29,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/29/2019,AQS,480271045,1,7.2,ug/m3 LC,30,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/30/2019,AQS,480271045,1,3.4,ug/m3 LC,14,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
3/31/2019,AQS,480271045,1,4.2,ug/m3 LC,18,Temple Georgia,1,100,88101,PM2.5 - Local Conditions,28660,"Killeen-Temple, TX",48,Texas,27,Bell,31.122419,-97.431052
