,Date,Value,Latitude,Longitude,Variable,County,Site ID
0,2020-01-01,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
1,2020-01-02,0.8,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
2,2020-01-03,1.0,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
3,2020-01-04,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
4,2020-01-05,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
5,2020-01-06,0.7,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
6,2020-01-07,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
7,2020-01-08,0.8,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
8,2020-01-09,0.2,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
9,2020-01-10,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
10,2020-01-11,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
11,2020-01-12,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
12,2020-01-13,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
13,2020-01-14,0.7,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
14,2020-01-15,0.6,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
15,2020-01-16,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
16,2020-01-17,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
17,2020-01-18,0.5,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
18,2020-01-19,0.3,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
19,2020-01-20,0.4,29.529432,-98.391403,Carbon monoxide,Bexar,San Antonio Interstate 35
