Date,Value,FIPS,Site ID,County
2020-01-01,23.388158333333333,48029,32,Bexar
2020-01-01,26.075149999999997,48029,59,Bexar
2020-01-01,22.80950416666666,48029,622,Bexar
2020-01-01,26.90415833333333,48039,1607,Brazoria
2020-01-01,23.474608333333332,48061,1023,Cameron
2020-01-01,22.57963875,48085,5,Collin
2020-01-01,21.05511791666667,48113,75,Dallas
2020-01-01,25.956078333333334,48121,34,Denton
2020-01-01,30.325542857142857,48139,16,Ellis
2020-01-01,26.624679999999998,48141,29,El Paso
2020-01-01,23.486394166666667,48141,37,El Paso
2020-01-01,25.20259833333334,48141,44,El Paso
2020-01-01,21.42912916666667,48141,55,El Paso
2020-01-01,17.804238333333334,48141,57,El Paso
2020-01-01,26.316286250000005,48141,58,El Paso
2020-01-01,20.04622,48183,1,Gregg
2020-01-01,12.437127083333332,48201,46,Harris
2020-01-01,13.03579708333333,48201,47,Harris
2020-01-01,17.395323333333327,48201,51,Harris
2020-01-01,19.833950416666667,48201,62,Harris
2020-01-01,16.984525833333333,48201,66,Harris
2020-01-01,18.41071125,48201,416,Harris
2020-01-01,19.231457826086956,48201,617,Harris
2020-01-01,15.53511583333333,48201,803,Harris
2020-01-01,18.411349166666668,48201,1035,Harris
2020-01-01,17.637885833333332,48203,2,Harrison
2020-01-01,22.585999999999995,48215,43,Hidalgo
2020-01-01,20.75578208333333,48245,9,Jefferson
2020-01-01,24.128226249999997,48245,11,Jefferson
2020-01-01,21.9462175,48245,22,Jefferson
2020-01-01,26.687879166666665,48245,101,Jefferson
2020-01-01,25.328311666666668,48245,102,Jefferson
2020-01-01,25.47329130434783,48245,628,Jefferson
2020-01-01,21.133673333333338,48245,1035,Jefferson
2020-01-01,24.99266666666667,48257,5,Kaufman
2020-01-01,24.06367333333333,48355,25,Nueces
2020-01-01,21.136415,48361,1001,Orange
2020-01-01,23.1032085,48361,1100,Orange
2020-01-01,27.677966666666673,48397,1,Rockwall
2020-01-01,27.81790833333333,48423,7,Smith
2020-01-01,23.35988583333334,48439,2003,Tarrant
2020-01-01,26.454558333333328,48453,20,Travis
2020-01-02,8.157367500000001,48029,32,Bexar
2020-01-02,11.669677499999997,48029,59,Bexar
2020-01-02,10.195983750000002,48029,622,Bexar
2020-01-02,22.945449999999997,48039,1607,Brazoria
2020-01-02,12.843414782608692,48061,1023,Cameron
2020-01-02,14.351438499999997,48085,5,Collin
2020-01-02,15.188029583333334,48113,75,Dallas
2020-01-02,15.202588500000001,48121,34,Denton
2020-01-02,19.56213291666667,48139,16,Ellis
2020-01-02,31.239375,48141,29,El Paso
2020-01-02,24.306273750000003,48141,37,El Paso
2020-01-02,27.848558750000006,48141,44,El Paso
2020-01-02,25.349614166666665,48141,55,El Paso
2020-01-02,26.23457166666667,48141,57,El Paso
2020-01-02,33.882583333333336,48141,58,El Paso
2020-01-02,18.395245833333338,48183,1,Gregg
2020-01-02,4.737977916666667,48201,46,Harris
2020-01-02,8.675121250000002,48201,47,Harris
2020-01-02,14.836005000000002,48201,51,Harris
2020-01-02,17.374190833333333,48201,62,Harris
2020-01-02,14.636595217391301,48201,66,Harris
2020-01-02,15.550541666666668,48201,416,Harris
2020-01-02,18.475934782608697,48201,617,Harris
2020-01-02,8.699422916666668,48201,803,Harris
2020-01-02,11.830207083333333,48201,1035,Harris
2020-01-02,16.126376250000003,48203,2,Harrison
2020-01-02,9.33096125,48215,43,Hidalgo
2020-01-02,15.261652083333336,48245,9,Jefferson
2020-01-02,18.59196083333333,48245,11,Jefferson
2020-01-02,17.563782380952386,48245,22,Jefferson
2020-01-02,22.511708333333328,48245,101,Jefferson
2020-01-02,20.946349583333333,48245,102,Jefferson
2020-01-02,20.382599999999996,48245,628,Jefferson
2020-01-02,15.391675416666665,48245,1035,Jefferson
2020-01-02,23.032933333333336,48257,5,Kaufman
2020-01-02,13.853995833333336,48355,25,Nueces
2020-01-02,17.158035416666667,48361,1001,Orange
2020-01-02,19.955069565217393,48361,1100,Orange
2020-01-02,20.457154166666665,48397,1,Rockwall
2020-01-02,25.281283333333334,48423,7,Smith
2020-01-02,15.234370833333335,48439,2003,Tarrant
2020-01-02,9.46111,48453,20,Travis
2020-01-03,19.550564999999995,48029,32,Bexar
2020-01-03,18.23718608695652,48029,59,Bexar
2020-01-03,17.2873025,48029,622,Bexar
2020-01-03,21.680944583333332,48039,1607,Brazoria
2020-01-03,24.263925,48061,1023,Cameron
2020-01-03,18.383724166666667,48085,5,Collin
2020-01-03,17.139030416666667,48113,75,Dallas
2020-01-03,17.97970833333333,48121,34,Denton
2020-01-03,16.720088750000002,48139,16,Ellis
2020-01-03,15.11771,48141,29,El Paso
2020-01-03,20.618724583333332,48141,37,El Paso
2020-01-03,18.24941875,48141,44,El Paso
2020-01-03,10.954720416666667,48141,55,El Paso
2020-01-03,8.441719523809523,48141,57,El Paso
2020-01-03,20.15065625,48141,58,El Paso
2020-01-03,15.388180833333335,48183,1,Gregg
2020-01-03,8.610659583333335,48201,46,Harris
2020-01-03,12.043928333333334,48201,47,Harris
2020-01-03,13.113274166666665,48201,51,Harris
2020-01-03,12.891929583333331,48201,62,Harris
2020-01-03,14.562564583333335,48201,66,Harris
2020-01-03,13.131104999999998,48201,416,Harris
2020-01-03,14.897521304347828,48201,617,Harris
2020-01-03,10.996952499999997,48201,803,Harris
2020-01-03,10.530446666666668,48201,1035,Harris
2020-01-03,15.267102083333329,48203,2,Harrison
2020-01-03,24.120922608695654,48215,43,Hidalgo
2020-01-03,26.534854166666673,48245,9,Jefferson
2020-01-03,27.15894583333333,48245,11,Jefferson
2020-01-03,25.083270833333334,48245,22,Jefferson
2020-01-03,28.956529166666666,48245,101,Jefferson
2020-01-03,30.434224999999994,48245,102,Jefferson
2020-01-03,30.038208695652173,48245,628,Jefferson
2020-01-03,25.310083333333335,48245,1035,Jefferson
2020-01-03,16.976493043478257,48257,5,Kaufman
2020-01-03,21.379315217391305,48355,25,Nueces
2020-01-03,27.238875000000004,48361,1001,Orange
2020-01-03,33.040608695652175,48361,1100,Orange
2020-01-03,16.544127083333336,48397,1,Rockwall
2020-01-03,17.991209166666664,48423,7,Smith
2020-01-03,17.75478347826087,48439,2003,Tarrant
2020-01-03,24.617882083333328,48453,20,Travis
2020-01-04,20.26740708333333,48029,32,Bexar
2020-01-04,26.233957826086957,48029,52,Bexar
2020-01-04,24.095233043478263,48029,59,Bexar
2020-01-04,22.391320416666673,48029,622,Bexar
2020-01-04,29.231465217391307,48039,1607,Brazoria
2020-01-04,28.070317391304346,48061,1023,Cameron
2020-01-04,24.8758947826087,48085,5,Collin
2020-01-04,17.689731304347823,48113,75,Dallas
2020-01-04,21.917909130434783,48121,34,Denton
2020-01-04,21.05669695652174,48139,16,Ellis
2020-01-04,11.787020434782606,48141,29,El Paso
2020-01-04,17.710003913043476,48141,37,El Paso
2020-01-04,15.752811304347828,48141,44,El Paso
