FIPS,County,Cumulative Deaths,Cumulative Cases,Cumulative Deaths per 100k,Cumulative Cases per 100k
48001.0,Anderson,4,2017,6.872970326,3465.6952869999996
48003.0,Andrews,2,187,8.981094795,839.7323633999999
48005.0,Angelina,12,1000,13.26890543,1105.742119
48007.0,Aransas,0,85,0.0,306.8702841
48009.0,Archer,0,12,0.0,143.81591559999998
48011.0,Armstrong,0,3,0.0,154.00410680000002
48013.0,Atascosa,2,355,3.8586946039999996,684.9182921
48015.0,Austin,0,155,0.0,509.83487930000007
48017.0,Bailey,1,120,13.00052002,1560.062402
48019.0,Bandera,0,47,0.0,221.2181116
48021.0,Bastrop,12,952,13.93647291,1105.626851
48023.0,Baylor,0,1,0.0,27.59381898
48025.0,Bee,1,218,2.9031789810000004,632.8930178999999
48027.0,Bell,17,2640,4.8072980439999995,746.545108
48029.0,Bexar,240,23639,11.46404446,1129.160612
48031.0,Blanco,1,68,8.692628651,591.0987482999999
48033.0,Borden,0,0,0.0,0.0
48035.0,Bosque,0,56,0.0,315.2265691
48037.0,Bowie,17,596,18.36448093,643.8370963
48039.0,Brazoria,31,4545,8.247554334,1209.197885
48041.0,Brazos,38,3313,16.56422998,1444.139314
48043.0,Brewster,1,161,10.94930472,1762.83806
48045.0,Briscoe,1,9,63.77551020000001,573.9795918
48047.0,Brooks,0,55,0.0,766.5505226
48049.0,Brown,13,273,33.39927549,701.3847852999999
48051.0,Burleson,0,182,0.0,1027.2039730000001
48053.0,Burnet,6,320,12.44916591,663.955515
48055.0,Caldwell,5,820,11.29075964,1851.6845809999998
48057.0,Calhoun,3,212,13.13485114,928.1961471000001
48059.0,Callahan,2,32,14.86325803,237.8121284
48061.0,Cameron,91,5565,21.26759543,1300.595259
48063.0,Camp,2,163,15.01276085,1223.540009
48065.0,Carson,0,10,0.0,172.44352469999998
48067.0,Cass,3,84,9.892175288999999,276.9809081
48069.0,Castro,1,142,14.07855836,1999.155286
48071.0,Chambers,5,698,11.8147448,1649.338374
48073.0,Cherokee,2,489,3.833033079,937.1765877999999
48075.0,Childress,0,9,0.0,127.4426508
48077.0,Clay,0,19,0.0,194.1350771
48079.0,Cochran,0,9,0.0,268.8172043
48081.0,Coke,1,9,31.10419907,279.9377916
48083.0,Coleman,0,7,0.0,82.56664308
48085.0,Collin,64,5154,6.1575821479999995,495.8777874
48087.0,Collingsworth,0,6,0.0,186.9158879
48089.0,Colorado,0,189,0.0,888.4501481000001
48091.0,Comal,37,1300,25.11369035,882.3729043999999
48093.0,Comanche,1,44,7.648183556,336.5200765
48095.0,Concho,0,17,0.0,409.9348927
48097.0,Cooke,0,120,0.0,302.0615702
48099.0,Coryell,3,426,3.830585952,543.9432052
48101.0,Cottle,1,6,66.22516556,397.3509934
48103.0,Crane,10,65,161.05653080000002,1046.86745
48105.0,Crockett,1,96,24.75247525,2376.237624
48107.0,Crosby,2,36,30.94059406,556.9306931
48109.0,Culberson,1,13,44.54342984,579.064588
48111.0,Dallam,1,146,13.81788034,2017.410529
48113.0,Dallas,514,39191,18.79952935,1433.409251
48115.0,Dawson,1,106,7.357268982000001,779.8705121
48117.0,Deaf Smith,17,439,93.70004961,2419.6659870000003
48119.0,Delta,0,9,0.0,167.6914477
48121.0,Denton,42,4765,4.677304937,530.6513815000001
48123.0,DeWitt,7,306,32.20315591,1407.737958
