,date,CNTY_NM,xco2
0,2015-01-04,Bowie,397.19509769001627
1,2015-01-04,Cass,396.539072480883
2,2015-01-04,Harrison,396.73464016232174
3,2015-01-04,Marion,396.3693819795957
4,2015-01-04,Morris,395.76277777086943
5,2015-01-04,Panola,396.610194454201
6,2015-01-04,Red River,396.07530813485096
7,2015-01-04,Sabine,399.39584288125235
8,2015-01-04,San Augustine,399.0973826781239
9,2015-01-04,Shelby,397.7409871688852
10,2015-01-05,Culberson,397.6093225361301
11,2015-01-05,Hudspeth,397.5438299327323
12,2015-01-05,Jeff Davis,397.76326125258043
13,2015-01-05,Presidio,397.5986485154583
14,2015-01-12,El Paso,399.1553740989831
15,2015-01-16,Falls,399.6192898750765
16,2015-01-16,Robertson,399.8356556554359
17,2015-01-26,El Paso,398.0164008680731
18,2015-01-28,Brewster,396.8441314151827
19,2015-01-28,Pecos,396.5819014975607
20,2015-01-28,Reeves,395.1584052022857
21,2015-01-28,Ward,396.828810401282
22,2015-01-28,Winkler,396.2527430202398
23,2015-02-01,Brooks,400.44099576054856
24,2015-02-01,Carson,398.1177782094086
25,2015-02-01,Concho,397.2040971608034
26,2015-02-01,Cottle,398.95002846606076
27,2015-02-01,Dickens,398.0056582284825
28,2015-02-01,Donley,398.64897371444385
29,2015-02-01,Fisher,397.65491879627325
30,2015-02-01,Gray,398.8881731442738
31,2015-02-01,Hall,398.5408381510948
32,2015-02-01,Hansford,399.11506970347176
33,2015-02-01,Hutchinson,398.39332652819195
34,2015-02-01,Jones,398.00122089872366
35,2015-02-01,King,398.44985448136146
36,2015-02-01,Motley,398.2275503893526
37,2015-02-01,Runnels,395.63162135891616
38,2015-02-01,Stonewall,397.8358165893172
39,2015-02-01,Taylor,396.51798793142115
40,2015-02-02,Morris,400.7648010253906
41,2015-02-02,Panola,400.896484375
42,2015-02-02,Red River,399.9115295410156
43,2015-02-02,Titus,399.0367431640625
44,2015-02-06,Brewster,397.4916734632129
45,2015-02-06,Culberson,397.1306841493287
46,2015-02-06,Deaf Smith,397.85190836588544
47,2015-02-06,Jeff Davis,396.0883004896827
48,2015-02-06,Presidio,397.015489314457
49,2015-02-08,Bexar,400.55670166015625
50,2015-02-08,Borden,397.53702321005136
51,2015-02-08,Crockett,396.8152118711498
52,2015-02-08,Dawson,397.61973603162915
53,2015-02-08,Edwards,396.53675272487675
54,2015-02-08,Frio,400.0566711425781
55,2015-02-08,Glasscock,397.29033999313464
56,2015-02-08,Gonzales,398.6455078125
57,2015-02-08,Guadalupe,400.0499572753906
58,2015-02-08,Hale,396.9138924730942
59,2015-02-08,Howard,397.576504231741
60,2015-02-08,Irion,396.8652442563325
61,2015-02-08,Kinney,396.7467470783188
62,2015-02-08,La Salle,399.00950622558594
63,2015-02-08,Lubbock,397.816683436113
64,2015-02-08,Lynn,398.14959456339596
65,2015-02-08,Maverick,397.4379630906598
66,2015-02-08,Reagan,396.59981335075025
67,2015-02-08,Schleicher,397.87893183529377
68,2015-02-08,Sterling,397.3805317494633
69,2015-02-08,Sutton,397.0482052647553
70,2015-02-08,Tom Green,397.1969338387928
71,2015-02-08,Val Verde,396.8919927597438
72,2015-02-08,Webb,397.27235343889333
73,2015-02-08,Zavala,400.8594055175781
74,2015-02-09,Deaf Smith,396.2772216796875
75,2015-02-09,Potter,397.55743408203125
76,2015-02-09,Presidio,398.7312316894531
77,2015-02-11,Crockett,398.56116739908856
78,2015-02-11,Llano,399.58551025390625
79,2015-02-11,Palo Pinto,399.63930257161456
80,2015-02-11,Webb,400.10784912109375
81,2015-02-12,Angelina,400.21266977419145
82,2015-02-12,Chambers,399.4935291642045
83,2015-02-12,Cherokee,398.9844104127422
84,2015-02-12,Deaf Smith,398.97483317057294
85,2015-02-12,Delta,398.2984848941366
86,2015-02-12,Galveston,401.2614697464468
87,2015-02-12,Hardin,399.1621940576258
88,2015-02-12,Hopkins,398.59614873692533
89,2015-02-12,Houston,397.9742650699336
90,2015-02-12,Lamar,398.0227726666878
91,2015-02-12,Liberty,398.7314649952614
92,2015-02-12,Polk,398.8659471320162
93,2015-02-12,Smith,399.14209402428526
94,2015-02-12,Trinity,398.19878628024156
95,2015-02-12,Wood,399.0350248447309
96,2015-02-13,Hudspeth,397.2972385542418
97,2015-02-15,Briscoe,401.20050834957516
98,2015-02-15,Dickens,400.8539217466023
99,2015-02-15,Donley,399.77590672717224
100,2015-02-15,Frio,399.21500138007104
101,2015-02-15,Hall,400.7864876517228
102,2015-02-15,Motley,400.53950118211407
103,2015-02-17,Burleson,398.96417195753503
104,2015-02-17,Denton,399.25339515320957
105,2015-02-17,Falls,400.29148151392513
106,2015-02-17,Hill,398.88886277805324
107,2015-02-17,Johnson,398.592954443302
108,2015-02-17,Lipscomb,399.8727569580078
109,2015-02-17,Llano,401.74228922526044
110,2015-02-17,McLennan,399.15373744383356
111,2015-02-17,Milam,400.0215480532866
112,2015-02-17,Montague,402.727018808946
113,2015-02-17,Tarrant,398.96325671771933
114,2015-02-17,Waller,396.7742411295573
115,2015-02-17,Wharton,401.40149649232626
116,2015-02-17,Wise,400.5504183084467
117,2015-02-18,Jeff Davis,398.4755452473958
118,2015-02-18,Oldham,398.3489481608073
119,2015-02-20,Frio,399.9732971191406
120,2015-02-20,Presidio,399.0253105505624
121,2015-02-21,Jeff Davis,397.5216369628906
122,2015-02-24,Stephens,402.3467019736848
123,2015-02-24,Throckmorton,401.74693761703867
124,2015-02-24,Young,402.87136216647923
125,2015-02-26,Bexar,401.5099487304688
126,2015-02-26,Fort Bend,403.507080078125
127,2015-02-26,Frio,400.8924865722656
128,2015-02-26,Harris,399.1493897046894
129,2015-02-26,Henderson,399.87299824133515
130,2015-02-26,Hopkins,401.4802346800399
131,2015-02-26,Hunt,402.007943576839
132,2015-02-26,Rains,400.08313468812656
133,2015-02-26,San Jacinto,397.18272405323285
134,2015-02-26,Webb,399.3603108723958
135,2015-02-26,Zavala,403.3789367675781
136,2015-02-27,El Paso,398.7096106835739
137,2015-03-01,Brewster,398.8042681341558
138,2015-03-01,Pecos,397.5800484315389
139,2015-03-03,Terrell,398.3334161444952
140,2015-03-05,Deaf Smith,397.33154296875
141,2015-03-05,Presidio,398.8449198404948
142,2015-03-07,Cooke,403.4572484670207
143,2015-03-07,Navarro,402.62618858832866
144,2015-03-10,Brewster,397.4660754796456
145,2015-03-10,Culberson,398.17158743295124
146,2015-03-10,Jeff Davis,396.9667485290313
147,2015-03-10,Reeves,397.73137413558885
148,2015-03-12,Borden,397.7859081517075
149,2015-03-12,Crosby,397.55910270911295
150,2015-03-12,Dallam,395.9267158973386
151,2015-03-12,Dimmit,397.8591101663911
152,2015-03-12,Edwards,397.1853935443847
153,2015-03-12,Garza,397.34237439517074
154,2015-03-12,Hale,397.29437336236947
155,2015-03-12,Hartley,397.57616468705237
156,2015-03-12,Howard,397.54013414494693
157,2015-03-12,Irion,394.2849563078626
