 County Name ,FIPS #, County # ,Metropolitan Statistical Area (MSA)
 Anderson ,001, 1 ,--
 Andrews ,003, 2 ,--
 Angelina ,005, 3 ,--
 Aransas ,007, 4 ,Corpus Christi
 Archer ,009, 5 ,Wichita Falls
 Armstrong ,011, 6 ,Amarillo
 Atascosa ,013, 7 ,San Antonio-New Braunfels
 Austin ,015, 8 ,Houston-The Woodlands-Sugar Land
 Bailey ,017, 9 ,--
 Bandera ,019, 10 ,San Antonio-New Braunfels
 Bastrop ,021, 11 ,Austin-Round Rock
 Baylor ,023, 12 ,--
 Bee ,025, 13 ,--
 Bell ,027, 14 ,Killeen-Temple
 Bexar ,029, 15 ,San Antonio-New Braunfels
 Blanco ,031, 16 ,--
 Borden ,033, 17 ,--
 Bosque ,035, 18 ,--
 Bowie ,037, 19 ,Texarkana
 Brazoria ,039, 20 ,Houston-The Woodlands-Sugar Land
 Brazos ,041, 21 ,College Station-Bryan
 Brewster ,043, 22 ,--
 Briscoe ,045, 23 ,--
 Brooks ,047, 24 ,--
 Brown ,049, 25 ,--
 Burleson ,051, 26 ,College Station-Bryan
 Burnet ,053, 27 ,--
 Caldwell ,055, 28 ,Austin-Round Rock
 Calhoun ,057, 29 ,--
 Callahan ,059, 30 ,Abilene
 Cameron ,061, 31 ,Brownsville-Harlingen
 Camp ,063, 32 ,--
 Carson ,065, 33 ,Amarillo
 Cass ,067, 34 ,--
 Castro ,069, 35 ,--
 Chambers ,071, 36 ,Houston-The Woodlands-Sugar Land
 Cherokee ,073, 37 ,--
 Childress ,075, 38 ,--
 Clay ,077, 39 ,Wichita Falls
 Cochran ,079, 40 ,--
 Coke ,081, 41 ,--
 Coleman ,083, 42 ,--
 Collin ,085, 43 ,Dallas-Fort Worth-Arlington
 Collingsworth ,087, 44 ,--
 Colorado ,089, 45 ,--
 Comal ,091, 46 ,San Antonio-New Braunfels
 Comanche ,093, 47 ,--
 Concho ,095, 48 ,--
 Cooke ,097, 49 ,--
 Coryell ,099, 50 ,Killeen-Temple
 Cottle ,101, 51 ,--
 Crane ,103, 52 ,--
 Crockett ,105, 53 ,--
 Crosby ,107, 54 ,Lubbock
 Culberson ,109, 55 ,--
 Dallam ,111, 56 ,--
 Dallas ,113, 57 ,Dallas-Fort Worth-Arlington
 Dawson ,115, 58 ,--
 Deaf Smith ,117, 59 ,--
 Delta ,119, 60 ,--
 Denton ,121, 61 ,Dallas-Fort Worth-Arlington
 DeWitt ,123, 62 ,--
 Dickens ,125, 63 ,--
 Dimmit ,127, 64 ,--
 Donley ,129, 65 ,--
 Duval ,131, 66 ,--
 Eastland ,133, 67 ,--
 Ector ,135, 68 ,Odessa
 Edwards ,137, 69 ,--
 Ellis ,139, 70 ,Dallas-Fort Worth-Arlington
 El Paso ,141, 71 ,El Paso
 Erath ,143, 72 ,--
 Falls ,145, 73 ,Waco
 Fannin ,147, 74 ,--
 Fayette ,149, 75 ,--
 Fisher ,151, 76 ,--
 Floyd ,153, 77 ,--
 Foard ,155, 78 ,--
 Fort Bend ,157, 79 ,Houston-The Woodlands-Sugar Land
 Franklin ,159, 80 ,--
 Freestone ,161, 81 ,--
 Frio ,163, 82 ,--
 Gaines ,165, 83 ,--
 Galveston ,167, 84 ,Houston-The Woodlands-Sugar Land
 Garza ,169, 85 ,--
 Gillespie ,171, 86 ,--
 Glasscock ,173, 87 ,--
 Goliad ,175, 88 ,Victoria
 Gonzales ,177, 89 ,--
 Gray ,179, 90 ,--
 Grayson ,181, 91 ,Sherman-Denison
 Gregg ,183, 92 ,Longview
