fips,county,pop,pm2.5,deaths,deaths/100k,cases,cases/100k,income,bah,NHBA_%,H_%
48465,Val Verde,48253,11.85089912,13,26.94133007,657,1361.573374,"$35,133",83.65,1.362570117,82.28250892
48201,Harris,4978845,11.36440283,1100,22.0934775,65349,1312.533329,"$53,564",62.55,18.81805307,43.72749598
48323,Maverick,59938,11.2251121,23,38.37298542,1390,2319.063032,"$28,863",95.41,0.2946084943,95.11597016
48113,Dallas,2734111,11.01961791,581,21.25005166,46813,1712.183595,"$56,157",63.43,22.67373827,40.75843212
48439,Tarrant,2143755,10.57744325,338,15.76672707,25499,1189.454952,"$48,864",46.48,17.010057,29.47470054
48121,Denton,897953,10.28227108,67,7.461415018,6121,681.6615124,"$53,990",30.10,10.49957902,19.6014008
48085,Collin,1039369,10.26965736,65,6.253794369,5789,556.9725478,"$63,686",25.94,10.41073517,15.52443633
48215,Hidalgo,870366,10.18402441,244,28.03418332,15153,1740.991721,"$25,657",92.91,0.4172868412,92.48860663
48167,Galveston,355196,10.18284293,89,25.05658848,8046,2265.228212,"$49,897",37.94,12.55425427,25.38500434
48245,Jefferson,258678,9.998740257,57,22.03511702,5064,1957.646186,"$42,463",55.17,33.08250353,22.09210343
48271,Kinney,3462,9.85824621,0,0,14,404.3905257,"$29,338",63.21,1.090809926,62.12162531
48397,Rockwall,102243,9.847810593,12,11.73674481,635,621.0694131,"$58,788",25.69,7.064766716,18.62650717
48361,Orange,86155,9.831409798,15,17.41048111,827,959.8978585,"$43,486",17.05,8.569955394,8.482421219
48479,Webb,276183,9.811905758,65,23.53511983,5081,1839.722213,"$30,412",95.71,0.3177276868,95.38987609
48139,Ellis,177721,9.627233617,32,18.00575059,2268,1276.157573,"$42,753",38.46,11.56763659,26.89286139
48231,Hunt,95324,9.604057848,16,16.78486006,948,994.5029583,"$36,865",25.46,7.825019778,17.63089032
48157,Fort Bend,840383,9.5442244,120,14.27920365,6530,777.0266652,"$55,654",45.38,20.43494545,24.94702398
48505,Zapata,14409,9.533999116,1,6.940106878,123,853.633146,"$26,738",95.01,0.2962127089,94.71048734
48061,Cameron,427881,9.53194688,272,63.56907645,7827,1829.246917,"$27,735",90.38,0.3766869977,90.00337931
48257,Kaufman,125134,9.514087402,17,13.58543641,1440,1150.766378,"$41,422",36.58,13.3268211,23.25528446
48071,Chambers,42320,9.403590941,2,4.725897921,812,1918.714556,"$52,351",31.55,7.742318133,23.80637361
48183,Gregg,125730,9.338840119,19,15.1117474,1195,950.4493756,"$43,852",39.47,20.24930413,19.22142886
48453,Travis,1291502,9.338570016,204,15.79556207,19480,1508.321319,"$63,231",41.67,8.026741939,33.64101059
48339,Montgomery,613951,9.328427643,58,9.447007986,5597,911.6362706,"$59,960",30.51,5.344991941,25.16286873
48251,Johnson,171701,9.315130584,21,12.2305636,1234,718.6912132,"$40,196",26.39,3.773810269,22.61612927
48029,Bexar,2093502,9.311781574,480,22.92808892,30529,1458.274222,"$44,077",68.10,7.414724035,60.68156885
48037,Bowie,92570,9.238638656,27,29.16711678,681,735.6595009,"$38,782",32.83,24.98686257,7.842779774
48349,Navarro,47985,9.22056345,9,18.75586121,672,1400.437637,"$36,768",41.13,12.59154311,28.54149622
48181,Grayson,131710,9.210793756,10,7.592437932,923,700.7820211,"$40,943",20.07,5.846034123,14.22047984
48427,Starr,64731,9.179248321,28,43.2559361,1655,2556.734795,"$25,446",96.47,0.1206813857,96.35325608
48309,McLennan,253066,9.160560582,27,10.6691535,3986,1575.08318,"$39,762",40.92,13.93288988,26.98355175
48449,Titus,32953,9.151894649,10,30.34625072,1080,3277.395078,"$33,450",53.04,8.958778626,44.07938931
48039,Brazoria,375869,9.151693688,50,13.30250699,5573,1482.697429,"$46,118",45.94,14.36632965,31.56889255
48119,Delta,5367,9.104194767,0,0,12,223.588597,"$34,739",15.19,6.34027387,8.85387357
48041,Brazos,229410,9.077858134,40,17.43603156,3724,1623.294538,"$37,367",36.81,10.59984032,26.20947511
48147,Fannin,34597,9.036092508,7,20.23296818,186,537.6188687,"$36,546",18.19,6.234161176,11.95866419
48291,Liberty,85284,9.034642881,21,24.62361052,797,934.5246471,"$36,218",37.62,9.046803976,28.57547694
48199,Hardin,56486,9.033879619,7,12.39245123,682,1207.37882,"$44,494",11.46,5.485920628,5.973750911
48277,Lamar,50014,9.021178286,15,29.99160235,537,1073.699364,"$39,881",21.60,13.15710303,8.443811549
48355,Nueces,383718,8.999341002,66,17.20013135,8178,2131.252639,"$42,361",67.96,3.470937968,64.4909935
48351,Newton,13724,8.980305423,2,14.57301078,78,568.3474206,"$31,903",23.52,19.58808385,3.927914675
48223,Hopkins,37040,8.974889869,0,0,154,415.7667387,"$37,667",24.50,7.059648366,17.43878762
48379,Rains,11378,8.940012002,2,17.57778168,37,325.1889612,"$32,924",11.90,2.477225507,9.421447978
48141,El Paso,876120,8.928883631,216,24.65415696,13240,1511.20851,"$34,473",86.03,3.083392315,82.94607727
48443,Terrell,1054,8.90169854,0,0,2,189.7533207,"$47,142",52.45,1.030927835,51.41752577
48097,Cooke,39727,8.844385436,3,7.551539255,172,432.9549173,"$50,249",22.19,3.267324333,18.92284946
48489,Willacy,22134,8.813564067,16,72.28697931,568,2566.187765,"$28,258",90.44,1.914973312,88.52888847
48471,Walker,73997,8.799052018,41,55.40765166,2738,3700.150006,"$27,207",41.14,23.05436406,18.08252593
48241,Jasper,35525,8.796974443,5,14.07459536,268,754.398311,"$39,397",22.56,15.72799685,6.836668637
48273,Kleberg,30987,8.793281192,2,6.454319553,308,993.9652112,"$37,435",76.68,3.305084746,73.37353325
48407,San Jacinto,28844,8.790912925,5,17.33462765,136,471.5018721,"$33,617",22.84,9.043972418,13.79465678
