,Date,Site ID,County,value
0,2020-01-01,Clinton,Harris,0.14451831249795288
1,2020-01-01,Dallas Hinton,Dallas,0.2208020915803618
2,2020-01-01,Houston Deer Park #2,Harris,0.13080949461914043
3,2020-01-01,Laredo Vidaurri,Webb,-0.22145854488915
4,2020-01-01,Ojo De Agua,El Paso,0.12007621877299149
5,2020-01-01,Waco Mazanec,McLennan,0.020637346415391222
6,2020-01-02,Clinton,Harris,-0.17359419022002964
7,2020-01-02,Dallas Hinton,Dallas,-0.08622213107673765
8,2020-01-02,El Paso Chamizal,El Paso,-0.137417448935633
9,2020-01-02,Houston Deer Park #2,Harris,-0.07000972695076635
10,2020-01-02,Laredo Vidaurri,Webb,-0.002497422906110769
11,2020-01-02,Ojo De Agua,El Paso,0.10679459233246094
12,2020-01-02,Waco Mazanec,McLennan,0.006942369246441454
13,2020-01-03,Clinton,Harris,-0.16959419022002958
14,2020-01-03,Dallas Hinton,Dallas,-0.07416733655618979
15,2020-01-03,El Paso Chamizal,El Paso,-0.15700757095921225
16,2020-01-03,Houston Deer Park #2,Harris,-0.13798780914254713
17,2020-01-03,Laredo Vidaurri,Webb,-0.3365302996184397
18,2020-01-03,Ojo De Agua,El Paso,0.08679459233246092
19,2020-01-03,Waco Mazanec,McLennan,-0.0011124252741065155
20,2020-01-04,Clinton,Harris,-0.14951747789126246
21,2020-01-04,Dallas Hinton,Dallas,-0.1421673365561898
22,2020-01-04,El Paso Chamizal,El Paso,0.079391348113099
23,2020-01-04,Houston Deer Park #2,Harris,-0.18597685023843757
24,2020-01-04,Laredo Vidaurri,Webb,-0.6264974229061107
25,2020-01-04,Ojo De Agua,El Paso,0.018849386853008826
26,2020-01-04,Waco Mazanec,McLennan,0.010887574725893412
27,2020-01-05,Clinton,Harris,-0.14951747789126252
28,2020-01-05,Dallas Hinton,Dallas,-0.19818925436440898
29,2020-01-05,El Paso Chamizal,El Paso,0.3877464315689717
30,2020-01-05,Houston Deer Park #2,Harris,-0.14597685023843765
31,2020-01-05,Laredo Vidaurri,Webb,-0.45449742290611084
32,2020-01-05,Ojo De Agua,El Paso,-0.009205407667539023
33,2020-01-05,Waco Mazanec,McLennan,0.006887574725893492
34,2020-01-06,Clinton,Harris,0.01834005635531294
35,2020-01-06,Dallas Hinton,Dallas,-0.05024404888495693
36,2020-01-06,El Paso Chamizal,El Paso,0.7241343917371735
37,2020-01-06,Houston Deer Park #2,Harris,0.05402314976156242
38,2020-01-06,Laredo Vidaurri,Webb,-0.19449742290611088
39,2020-01-06,Ojo De Agua,El Paso,0.010816510140680108
40,2020-01-06,Waco Mazanec,McLennan,0.010887574725893495
41,2020-01-07,Clinton,Harris,0.2783838919717512
42,2020-01-07,Dallas Hinton,Dallas,0.0017778689232623712
43,2020-01-07,El Paso Chamizal,El Paso,-0.5314776480946246
44,2020-01-07,Houston Deer Park #2,Harris,0.2339902730492337
45,2020-01-07,Laredo Vidaurri,Webb,-0.1424974229061109
46,2020-01-07,Ojo De Agua,El Paso,0.21478363342835127
47,2020-01-07,Waco Mazanec,McLennan,0.006865656917674268
48,2020-01-08,Clinton,Harris,0.6503729330676417
49,2020-01-08,Dallas Hinton,Dallas,-0.07022213107673769
50,2020-01-08,El Paso Chamizal,El Paso,-0.31915544135108076
51,2020-01-08,Houston Deer Park #2,Harris,0.7620121908574529
52,2020-01-08,Laredo Vidaurri,Webb,-0.11049742290611092
53,2020-01-08,Ojo De Agua,El Paso,0.30680555123657044
54,2020-01-08,Waco Mazanec,McLennan,-0.013134343082325722
55,2020-01-09,Clinton,Harris,-0.1535941902200296
56,2020-01-09,Dallas Hinton,Dallas,-0.2301673365561898
57,2020-01-09,El Paso Chamizal,El Paso,-0.3908003578952079
58,2020-01-09,Houston Deer Park #2,Harris,-0.10600972695076633
59,2020-01-09,Laredo Vidaurri,Webb,0.05750257709388917
60,2020-01-09,Ojo De Agua,El Paso,-0.06520540766753916
61,2020-01-09,Waco Mazanec,McLennan,0.014887574725893443
62,2020-01-10,Clinton,Harris,-0.17764898474057755
63,2020-01-10,Dallas Hinton,Dallas,-0.20618925436440896
64,2020-01-10,El Paso Chamizal,El Paso,-0.6703466443023485
65,2020-01-10,Houston Deer Park #2,Harris,-0.13797685023843753
66,2020-01-10,Laredo Vidaurri,Webb,-0.04649742290611092
67,2020-01-10,Ojo De Agua,El Paso,-0.10921636657164868
68,2020-01-10,Waco Mazanec,McLennan,0.03888757472589344
69,2020-01-11,Clinton,Harris,-0.2576489847405776
70,2020-01-11,Dallas Hinton,Dallas,-0.13418925436440904
71,2020-01-11,El Paso Chamizal,El Paso,0.3631212660526526
72,2020-01-11,Houston Deer Park #2,Harris,-0.10600972695076641
73,2020-01-11,Laredo Vidaurri,Webb,-0.14649742290611079
74,2020-01-11,Ojo De Agua,El Paso,0.002783633428351251
75,2020-01-11,Waco Mazanec,McLennan,0.0028875747258934326
76,2020-01-12,Clinton,Harris,-0.1355941902200296
77,2020-01-12,Dallas Hinton,Dallas,-0.04624404888495692
78,2020-01-12,El Paso Chamizal,El Paso,0.6252945313267071
79,2020-01-12,Houston Deer Park #2,Harris,-0.13000972695076635
80,2020-01-12,Laredo Vidaurri,Webb,0.12550257709388907
81,2020-01-12,Ojo De Agua,El Paso,0.014805551236570486
82,2020-01-12,Waco Mazanec,McLennan,0.002865656917674292
83,2020-01-13,Clinton,Harris,-0.045594190220029585
84,2020-01-13,Dallas Hinton,Dallas,-0.07018925436440898
85,2020-01-13,El Paso Chamizal,El Paso,0.7236102623541865
86,2020-01-13,Houston Deer Park #2,Harris,-0.058009726950766394
87,2020-01-13,Laredo Vidaurri,Webb,0.20550257709388914
88,2020-01-13,Ojo De Agua,El Paso,0.01480555123657043
89,2020-01-13,Waco Mazanec,McLennan,-0.005112425274106547
90,2020-01-14,Clinton,Harris,-0.21759419022002957
91,2020-01-14,Dallas Hinton,Dallas,-0.19416733655618978
92,2020-01-14,El Paso Chamizal,El Paso,0.4777944865323508
93,2020-01-14,Houston Deer Park #2,Harris,-0.09400972695076634
