,Date,Site ID,County,value
0,2020-01-01,Ascarate Park SE,El Paso,8.877805383242944
1,2020-01-01,Austin North Interstate 35,Travis,0.0152353712987221
2,2020-01-01,Austin Northwest,Travis,2.936660568259338
3,2020-01-01,Beaumont Downtown,Jefferson,10.492400643379895
4,2020-01-01,Calaveras Lake,Bexar,1.0512308861068789
5,2020-01-01,Channelview,Harris,14.987803916872938
6,2020-01-01,Clinton,Harris,11.902227656697253
7,2020-01-01,Conroe Relocated,Montgomery,4.444731131544385
8,2020-01-01,Dallas LBJ Freeway,Dallas,5.357403498676014
9,2020-01-01,Dallas North #2,Dallas,12.645766131112492
10,2020-01-01,Dallas Redbird Airport Executive,Dallas,2.2270553764598287
11,2020-01-01,Denton Airport South,Denton,10.465648003926665
12,2020-01-01,El Paso Chamizal,El Paso,3.5656415990694086
13,2020-01-01,El Paso UTEP,El Paso,0.10763297446041165
14,2020-01-01,Fort Worth Northwest,Tarrant,16.203814611574288
15,2020-01-01,Galveston 99th Street,Galveston,16.614950011765515
16,2020-01-01,Grapevine Fairway,Tarrant,15.010383879759432
17,2020-01-01,Greenville,Hunt,10.731375847638109
18,2020-01-01,Hamshire,Jefferson,4.838086535488649
19,2020-01-01,Houston Aldine,Harris,16.95711977171929
20,2020-01-01,Houston Bayland Park,Harris,16.638077889475678
21,2020-01-01,Houston Deer Park #2,Harris,17.484997611750032
22,2020-01-01,Houston East,Harris,12.828968225969309
23,2020-01-01,Houston Southwest Freeway,Harris,5.902849537868562
24,2020-01-01,Italy,Ellis,-4.443878882544436
25,2020-01-01,Karnack,Harrison,7.0066666261575605
26,2020-01-01,Kaufman,Kaufman,3.543669739401352
27,2020-01-01,Lake Jackson,Brazoria,-1.7289436657021051
28,2020-01-01,Lang,Harris,13.355665013537784
29,2020-01-01,Longview,Gregg,1.1735803221069627
30,2020-01-01,Lynchburg Ferry,Harris,14.092283178296668
31,2020-01-01,Manvel Croix Park,Brazoria,3.0118409591721864
32,2020-01-01,Midlothian OFW,Ellis,-5.581126469274134
33,2020-01-01,Nederland High School,Jefferson,9.593089417890134
34,2020-01-01,Northwest Harris County,Harris,21.13894102768024
35,2020-01-01,Park Place,Harris,9.475990507763765
36,2020-01-01,San Antonio Interstate 35,Bexar,1.4671469056703828
37,2020-01-01,San Antonio Northwest,Bexar,3.3104418750949485
