,Date,Site ID,County,value
0,2020-01-01,Amarillo A&M,Potter,-1.2059959970452105
1,2020-01-01,Ascarate Park SE,El Paso,-3.036553044884669
2,2020-01-01,Austin Webberville Rd,Travis,-1.828677661214801
3,2020-01-01,Brownsville,Cameron,-0.6355898040898964
4,2020-01-01,Calaveras Lake,Bexar,1.2741270919527015
5,2020-01-01,Clinton,Harris,26.90532756450927
6,2020-01-01,Conroe Relocated,Montgomery,30.68054038896684
7,2020-01-01,Corsicana Airport,Navarro,2.447330020820492
8,2020-01-01,Dallas Hinton,Dallas,5.985331285985346
9,2020-01-01,Denton Airport South,Denton,5.405115685640729
10,2020-01-01,Dona Park,Nueces,-3.3617667338343233
11,2020-01-01,Eagle Pass,Maverick,-5.021443790639407
12,2020-01-01,El Paso Chamizal,El Paso,-1.9119740096367837
13,2020-01-01,El Paso UTEP,El Paso,-5.3645484333997455
14,2020-01-01,Galveston 99th Street,Galveston,1.1496791717675414
15,2020-01-01,Hamshire,Jefferson,6.53316655890357
16,2020-01-01,Haws Athletic Center,Tarrant,4.03792394907172
17,2020-01-01,Houston Aldine,Harris,78.12987860903355
18,2020-01-01,Houston Deer Park #2,Harris,22.953557093114362
19,2020-01-01,Houston East,Harris,35.60190534422314
20,2020-01-01,Isla Blanca Park,Cameron,-1.111748829006375
21,2020-01-01,Karnack,Harrison,1.7134158107629247
22,2020-01-01,Kaufman,Kaufman,6.163411423567366
23,2020-01-01,Midlothian OFW,Ellis,1.2420701724913528
24,2020-01-01,Mission,Hidalgo,-9.353882485769677
25,2020-01-01,National Seashore,Kleberg,-3.164325361677773
26,2020-01-01,Odessa Gonzales,Ector,-2.1320369828302486
27,2020-01-01,Old Hwy 90,Bexar,-1.9836438359142878
28,2020-01-01,Palo Alto,Bexar,-16.474771986167326
29,2020-01-01,Port Arthur Memorial School,Jefferson,18.01329927470833
30,2020-01-01,San Antonio Northwest,Bexar,19.964252534797623
31,2020-01-01,Seabrook Friendship Park,Harris,5.092240016365569
32,2020-01-01,Socorro Hueco,El Paso,5.484863942727282
33,2020-01-01,Waco Mazanec,McLennan,1.3685696823421933
34,2020-01-01,World Trade Bridge,Webb,4.0933150066923805
35,2020-01-02,Amarillo A&M,Potter,-1.9331419418158182
36,2020-01-02,Ascarate Park SE,El Paso,-5.481552392568972
37,2020-01-02,Austin Webberville Rd,Travis,-3.8105779148931482
38,2020-01-02,Brownsville,Cameron,0.01159630827566005
39,2020-01-02,Calaveras Lake,Bexar,4.203872253944429
40,2020-01-02,Clinton,Harris,-1.3866566711941477
41,2020-01-02,Conroe Relocated,Montgomery,-1.6985600096705493
42,2020-01-02,Corsicana Airport,Navarro,0.49252754202074733
43,2020-01-02,Dallas Hinton,Dallas,-0.30710065574112555
44,2020-01-02,Denton Airport South,Denton,1.014706622201147
45,2020-01-02,Dona Park,Nueces,-3.152642119787795
46,2020-01-02,Eagle Pass,Maverick,-1.6604014336052737
47,2020-01-02,El Paso Chamizal,El Paso,-6.28501770029418
48,2020-01-02,El Paso UTEP,El Paso,-0.718897770212104
49,2020-01-02,Galveston 99th Street,Galveston,-0.20851056513179334
50,2020-01-02,Hamshire,Jefferson,0.025416373450511287
51,2020-01-02,Haws Athletic Center,Tarrant,1.200632342200663
52,2020-01-02,Houston Aldine,Harris,-8.530864258981266
53,2020-01-02,Houston Deer Park #2,Harris,-1.7974193365442659
54,2020-01-02,Houston East,Harris,-4.218055995198474
55,2020-01-02,Isla Blanca Park,Cameron,-0.06389522899011268
56,2020-01-02,Karnack,Harrison,2.9935332710803824
57,2020-01-02,Kaufman,Kaufman,0.4927718932346776
58,2020-01-02,Midlothian OFW,Ellis,2.858358191625941
59,2020-01-02,Mission,Hidalgo,-4.656760372266747
60,2020-01-02,National Seashore,Kleberg,-1.7302905570101164
61,2020-01-02,Odessa Gonzales,Ector,-4.061251361332689
62,2020-01-02,Old Hwy 90,Bexar,-8.083531333196307
63,2020-01-02,Palo Alto,Bexar,-9.33899625231214
64,2020-01-02,Port Arthur Memorial School,Jefferson,-0.6670228822823212
65,2020-01-02,San Antonio Northwest,Bexar,-1.6740542057981687
66,2020-01-02,Seabrook Friendship Park,Harris,-1.2629334048352598
67,2020-01-02,Socorro Hueco,El Paso,-3.1006720868443693
68,2020-01-02,Waco Mazanec,McLennan,-0.43505754668403185
69,2020-01-02,World Trade Bridge,Webb,-0.11210431547562472
70,2020-01-03,Amarillo A&M,Potter,-1.641611348208511
71,2020-01-03,Ascarate Park SE,El Paso,-1.8067574806315907
72,2020-01-03,Austin Webberville Rd,Travis,-8.140258280189954
73,2020-01-03,Brownsville,Cameron,-3.1877846541409154
74,2020-01-03,Calaveras Lake,Bexar,-0.08673322550762297
75,2020-01-03,Clinton,Harris,2.490145155289868
76,2020-01-03,Conroe Relocated,Montgomery,0.9016701273157537
77,2020-01-03,Corsicana Airport,Navarro,2.421714756632621
